"name","address","phone","website","profileUrl","isPremiumMember"
"JAEM CONSULTANTS","Section 55, Lot 48, Peteru Street 3 mile, Port Moresby, NCD , Port Moresby, National Capital District, 121","","","https://www.freightnet.com/profile/240989.htm","No"
"Perpetual Niugini Limited","Portion 2885 Hubert Murray H/Way, 9 Mile | P O Box 1342, Vision City | Waigani .NCD. Port Moresby Papua New Guinea , Port Moresby, Papua New Guinea, 111","","","https://www.freightnet.com/profile/136951.htm","No"
