"name","address","phone","website","profileUrl","isPremiumMember"
"Al sayed Jaffar Alkhabbaz Cargo Servies","building w913/ road 3431/ block1034 Almalkiya , Almalkiya, Bahrain, 00000","","","https://www.freightnet.com/profile/135595.htm","No"
"Al Faisal Logistics & Transport W.L.L","P.O.Box 32230 , Manama, Bahrain, 973","","","https://www.freightnet.com/profile/62034.htm","No"
